22:33:25.249 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.neusoft.health.HealthApplicationTests], using SpringBootContextLoader
22:33:25.284 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.neusoft.health.HealthApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
22:33:25.287 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.neusoft.health.HealthApplicationTests]: HealthApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
22:33:26.086 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.neusoft.HealthApplication for test class com.neusoft.health.HealthApplicationTests
22:33:26.966 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
22:33:27.016 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17497425, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@f0da945, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4803b726, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@ffaa6af, org.springframework.test.context.support.DirtiesContextTestExecutionListener@53ce1329, org.springframework.test.context.transaction.TransactionalTestExecutionListener@316bcf94, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6404f418, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3e11f9e9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1de5f259, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@729d991e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@31fa1761, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@957e06]
22:33:29.845 [main] INFO  com.neusoft.health.HealthApplicationTests - Starting HealthApplicationTests on Umbrella with PID 13840 (started by xyc in F:\NEUSOFT\health)
22:33:29.846 [main] INFO  com.neusoft.health.HealthApplicationTests - The following profiles are active: dev
22:33:43.569 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
22:33:44.779 [main] INFO  com.neusoft.health.HealthApplicationTests - Started HealthApplicationTests in 17.497 seconds (JVM running for 25.326)
22:39:39.740 [restartedMain] INFO  com.neusoft.HealthApplication - Starting HealthApplication on Umbrella with PID 2284 (F:\NEUSOFT\health\target\classes started by xyc in F:\NEUSOFT\health)
22:39:39.806 [restartedMain] INFO  com.neusoft.HealthApplication - The following profiles are active: dev
22:39:49.235 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
22:39:49.302 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
22:39:49.304 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
